Founders Demo Co,,,,,,,,
General Ledger,,,,,,,,
January 1, 2024 - December 31, 2026,,,,,,,,
,07/30/2024,Deposit,1077,Bank,Interest earned,7000 Interest Income,45.00,58607.00
,08/01/2024,Check,1085,Landlord,Office rent,6100 Rent Expense,-2600.00,56007.00
,08/15/2024,Check,1084,Staff,Payroll run,6000 Payroll Expense,-8000.00,48007.00
,08/18/2024,Check,1089,Bank,Loan interest,8000 Interest Expense,-210.00,47797.00
,08/20/2024,Payment,1081,Customer,Customer payments,1200 Accounts Receivable,20469.00,68266.00
,08/24/2024,Bill Payment,1083,Supplier,Pay vendor,2000 Accounts Payable,-5991.00,62275.00
,08/28/2024,Credit Card Payment,1087,Card,Pay card,2100 Credit Card,-1439.00,60836.00
,08/30/2024,Deposit,1088,Bank,Interest earned,7000 Interest Income,45.00,60881.00
,09/01/2024,Check,1096,Landlord,Office rent,6100 Rent Expense,-2600.00,58281.00
,09/15/2024,Check,1095,Staff,Payroll run,6000 Payroll Expense,-8000.00,50281.00
,09/18/2024,Check,1100,Bank,Loan interest,8000 Interest Expense,-210.00,50071.00
,09/20/2024,Payment,1092,Customer,Customer payments,1200 Accounts Receivable,20981.00,71052.00
,09/24/2024,Bill Payment,1094,Supplier,Pay vendor,2000 Accounts Payable,-6141.00,64911.00
,09/28/2024,Credit Card Payment,1098,Card,Pay card,2100 Credit Card,-1482.00,63429.00
,09/30/2024,Deposit,1099,Bank,Interest earned,7000 Interest Income,45.00,63474.00
,10/01/2024,Check,1107,Landlord,Office rent,6100 Rent Expense,-2600.00,60874.00
,10/15/2024,Check,1106,Staff,Payroll run,6000 Payroll Expense,-8000.00,52874.00
,10/18/2024,Check,1111,Bank,Loan interest,8000 Interest Expense,-210.00,52664.00
,10/20/2024,Payment,1103,Customer,Customer payments,1200 Accounts Receivable,21505.00,74169.00
,10/24/2024,Bill Payment,1105,Supplier,Pay vendor,2000 Accounts Payable,-6294.00,67875.00
,10/28/2024,Credit Card Payment,1109,Card,Pay card,2100 Credit Card,-1526.00,66349.00
,10/30/2024,Deposit,1110,Bank,Interest earned,7000 Interest Income,45.00,66394.00
,11/01/2024,Check,1118,Landlord,Office rent,6100 Rent Expense,-2600.00,63794.00
,11/15/2024,Check,1117,Staff,Payroll run,6000 Payroll Expense,-8000.00,55794.00
,11/18/2024,Check,1122,Bank,Loan interest,8000 Interest Expense,-210.00,55584.00
,11/20/2024,Payment,1114,Customer,Customer payments,1200 Accounts Receivable,22043.00,77627.00
,11/24/2024,Bill Payment,1116,Supplier,Pay vendor,2000 Accounts Payable,-6451.00,71176.00
,11/28/2024,Credit Card Payment,1120,Card,Pay card,2100 Credit Card,-1572.00,69604.00
,11/30/2024,Deposit,1121,Bank,Interest earned,7000 Interest Income,45.00,69649.00
,12/01/2024,Check,1129,Landlord,Office rent,6100 Rent Expense,-2600.00,67049.00
,12/15/2024,Check,1128,Staff,Payroll run,6000 Payroll Expense,-8000.00,59049.00
,12/18/2024,Check,1133,Bank,Loan interest,8000 Interest Expense,-210.00,58839.00
,12/20/2024,Payment,1125,Customer,Customer payments,1200 Accounts Receivable,22594.00,81433.00
,12/24/2024,Bill Payment,1127,Supplier,Pay vendor,2000 Accounts Payable,-6613.00,74820.00
,12/28/2024,Credit Card Payment,1131,Card,Pay card,2100 Credit Card,-1620.00,73200.00
,12/30/2024,Deposit,1132,Bank,Interest earned,7000 Interest Income,45.00,73245.00
,01/01/2025,Check,1140,Landlord,Office rent,6100 Rent Expense,-2800.00,70445.00
,01/15/2025,Check,1139,Staff,Payroll run,6000 Payroll Expense,-9500.00,60945.00
,01/18/2025,Check,1144,Bank,Loan interest,8000 Interest Expense,-210.00,60735.00
,01/20/2025,Payment,1136,Customer,Customer payments,1200 Accounts Receivable,23158.00,83893.00
,01/24/2025,Bill Payment,1138,Supplier,Pay vendor,2000 Accounts Payable,-6778.00,77115.00
,01/28/2025,Credit Card Payment,1142,Card,Pay card,2100 Credit Card,-1668.00,75447.00
,01/30/2025,Deposit,1143,Bank,Interest earned,7000 Interest Income,45.00,75492.00
,02/01/2025,Check,1151,Landlord,Office rent,6100 Rent Expense,-2800.00,72692.00
,02/15/2025,Check,1150,Staff,Payroll run,6000 Payroll Expense,-9500.00,63192.00
,02/18/2025,Check,1155,Bank,Loan interest,8000 Interest Expense,-210.00,62982.00
,02/20/2025,Payment,1147,Customer,Customer payments,1200 Accounts Receivable,23738.00,86720.00
,02/24/2025,Bill Payment,1149,Supplier,Pay vendor,2000 Accounts Payable,-6948.00,79772.00
,02/28/2025,Credit Card Payment,1153,Card,Pay card,2100 Credit Card,-1718.00,78054.00
,02/30/2025,Deposit,1154,Bank,Interest earned,7000 Interest Income,45.00,78099.00
,03/01/2025,Check,1162,Landlord,Office rent,6100 Rent Expense,-2800.00,75299.00
,03/15/2025,Check,1161,Staff,Payroll run,6000 Payroll Expense,-9500.00,65799.00
,03/18/2025,Check,1166,Bank,Loan interest,8000 Interest Expense,-210.00,65589.00
,03/20/2025,Payment,1158,Customer,Customer payments,1200 Accounts Receivable,24332.00,89921.00
,03/24/2025,Bill Payment,1160,Supplier,Pay vendor,2000 Accounts Payable,-7122.00,82799.00
,03/28/2025,Credit Card Payment,1164,Card,Pay card,2100 Credit Card,-1769.00,81030.00
,03/30/2025,Deposit,1165,Bank,Interest earned,7000 Interest Income,45.00,81075.00
,04/01/2025,Check,1173,Landlord,Office rent,6100 Rent Expense,-2800.00,78275.00
,04/15/2025,Check,1172,Staff,Payroll run,6000 Payroll Expense,-9500.00,68775.00
,04/18/2025,Check,1177,Bank,Loan interest,8000 Interest Expense,-210.00,68565.00
,04/20/2025,Payment,1169,Customer,Customer payments,1200 Accounts Receivable,24939.00,93504.00
,04/24/2025,Bill Payment,1171,Supplier,Pay vendor,2000 Accounts Payable,-7299.00,86205.00
,04/28/2025,Credit Card Payment,1175,Card,Pay card,2100 Credit Card,-1823.00,84382.00
,04/30/2025,Deposit,1176,Bank,Interest earned,7000 Interest Income,45.00,84427.00
,05/01/2025,Check,1184,Landlord,Office rent,6100 Rent Expense,-2800.00,81627.00
,05/15/2025,Check,1183,Staff,Payroll run,6000 Payroll Expense,-9500.00,72127.00
,05/18/2025,Check,1188,Bank,Loan interest,8000 Interest Expense,-210.00,71917.00
,05/20/2025,Payment,1180,Customer,Customer payments,1200 Accounts Receivable,25564.00,97481.00
,05/24/2025,Bill Payment,1182,Supplier,Pay vendor,2000 Accounts Payable,-7482.00,89999.00
,05/28/2025,Credit Card Payment,1186,Card,Pay card,2100 Credit Card,-1877.00,88122.00
,05/30/2025,Deposit,1187,Bank,Interest earned,7000 Interest Income,45.00,88167.00
,06/01/2025,Check,1195,Landlord,Office rent,6100 Rent Expense,-2800.00,85367.00
,06/10/2025,Check,1399,Vendor,Equipment purchase,1500 Equipment,-12000.00,73367.00
,06/15/2025,Check,1194,Staff,Payroll run,6000 Payroll Expense,-9500.00,63867.00
,06/18/2025,Check,1199,Bank,Loan interest,8000 Interest Expense,-210.00,63657.00
,06/20/2025,Payment,1191,Customer,Customer payments,1200 Accounts Receivable,26202.00,89859.00
,06/24/2025,Bill Payment,1193,Supplier,Pay vendor,2000 Accounts Payable,-7669.00,82190.00
,06/28/2025,Credit Card Payment,1197,Card,Pay card,2100 Credit Card,-1934.00,80256.00
,06/30/2025,Deposit,1198,Bank,Interest earned,7000 Interest Income,45.00,80301.00
,07/01/2025,Check,1206,Landlord,Office rent,6100 Rent Expense,-2800.00,77501.00
,07/15/2025,Check,1205,Staff,Payroll run,6000 Payroll Expense,-9500.00,68001.00
,07/18/2025,Check,1210,Bank,Loan interest,8000 Interest Expense,-210.00,67791.00
,07/20/2025,Payment,1202,Customer,Customer payments,1200 Accounts Receivable,26857.00,94648.00
,07/24/2025,Bill Payment,1204,Supplier,Pay vendor,2000 Accounts Payable,-7861.00,86787.00
,07/28/2025,Credit Card Payment,1208,Card,Pay card,2100 Credit Card,-1992.00,84795.00
,07/30/2025,Deposit,1209,Bank,Interest earned,7000 Interest Income,45.00,84840.00
,08/01/2025,Check,1217,Landlord,Office rent,6100 Rent Expense,-2800.00,82040.00
,08/15/2025,Check,1216,Staff,Payroll run,6000 Payroll Expense,-9500.00,72540.00
,08/18/2025,Check,1221,Bank,Loan interest,8000 Interest Expense,-210.00,72330.00
,08/20/2025,Payment,1213,Customer,Customer payments,1200 Accounts Receivable,27529.00,99859.00
,08/24/2025,Bill Payment,1215,Supplier,Pay vendor,2000 Accounts Payable,-8058.00,91801.00
,08/28/2025,Credit Card Payment,1219,Card,Pay card,2100 Credit Card,-2052.00,89749.00
,08/30/2025,Deposit,1220,Bank,Interest earned,7000 Interest Income,45.00,89794.00
,09/01/2025,Check,1228,Landlord,Office rent,6100 Rent Expense,-2800.00,86994.00
,09/15/2025,Check,1227,Staff,Payroll run,6000 Payroll Expense,-9500.00,77494.00
,09/18/2025,Check,1232,Bank,Loan interest,8000 Interest Expense,-210.00,77284.00
,09/20/2025,Payment,1224,Customer,Customer payments,1200 Accounts Receivable,28217.00,105501.00
,09/24/2025,Bill Payment,1226,Supplier,Pay vendor,2000 Accounts Payable,-8258.00,97243.00
,09/28/2025,Credit Card Payment,1230,Card,Pay card,2100 Credit Card,-2113.00,95130.00
,09/30/2025,Deposit,1231,Bank,Interest earned,7000 Interest Income,45.00,95175.00
,10/01/2025,Check,1239,Landlord,Office rent,6100 Rent Expense,-2800.00,92375.00
,10/15/2025,Check,1238,Staff,Payroll run,6000 Payroll Expense,-9500.00,82875.00
,10/18/2025,Check,1243,Bank,Loan interest,8000 Interest Expense,-210.00,82665.00
,10/20/2025,Payment,1235,Customer,Customer payments,1200 Accounts Receivable,28922.00,111587.00
,10/24/2025,Bill Payment,1237,Supplier,Pay vendor,2000 Accounts Payable,-8465.00,103122.00
,10/28/2025,Credit Card Payment,1241,Card,Pay card,2100 Credit Card,-2176.00,100946.00
,10/30/2025,Deposit,1242,Bank,Interest earned,7000 Interest Income,45.00,100991.00
,11/01/2025,Check,1250,Landlord,Office rent,6100 Rent Expense,-2800.00,98191.00
,11/15/2025,Check,1249,Staff,Payroll run,6000 Payroll Expense,-9500.00,88691.00
,11/18/2025,Check,1254,Bank,Loan interest,8000 Interest Expense,-210.00,88481.00
,11/20/2025,Payment,1246,Customer,Customer payments,1200 Accounts Receivable,29645.00,118126.00
,11/24/2025,Bill Payment,1248,Supplier,Pay vendor,2000 Accounts Payable,-8677.00,109449.00
,11/28/2025,Credit Card Payment,1252,Card,Pay card,2100 Credit Card,-2242.00,107207.00
,11/30/2025,Deposit,1253,Bank,Interest earned,7000 Interest Income,45.00,107252.00
,12/01/2025,Check,1261,Landlord,Office rent,6100 Rent Expense,-2800.00,104452.00
,12/15/2025,Check,1260,Staff,Payroll run,6000 Payroll Expense,-9500.00,94952.00
,12/18/2025,Check,1265,Bank,Loan interest,8000 Interest Expense,-210.00,94742.00
,12/20/2025,Payment,1257,Customer,Customer payments,1200 Accounts Receivable,30387.00,125129.00
,12/24/2025,Bill Payment,1259,Supplier,Pay vendor,2000 Accounts Payable,-8894.00,116235.00
,12/28/2025,Credit Card Payment,1263,Card,Pay card,2100 Credit Card,-2309.00,113926.00
,12/30/2025,Deposit,1264,Bank,Interest earned,7000 Interest Income,45.00,113971.00
,01/01/2026,Check,1272,Landlord,Office rent,6100 Rent Expense,-3000.00,110971.00
,01/15/2026,Check,1271,Staff,Payroll run,6000 Payroll Expense,-11000.00,99971.00
,01/18/2026,Check,1276,Bank,Loan interest,8000 Interest Expense,-210.00,99761.00
,01/20/2026,Payment,1268,Customer,Customer payments,1200 Accounts Receivable,31146.00,130907.00
,01/24/2026,Bill Payment,1270,Supplier,Pay vendor,2000 Accounts Payable,-9116.00,121791.00
,01/28/2026,Credit Card Payment,1274,Card,Pay card,2100 Credit Card,-2379.00,119412.00
,01/30/2026,Deposit,1275,Bank,Interest earned,7000 Interest Income,45.00,119457.00
,02/01/2026,Check,1283,Landlord,Office rent,6100 Rent Expense,-3000.00,116457.00
,02/15/2026,Check,1282,Staff,Payroll run,6000 Payroll Expense,-11000.00,105457.00
,02/18/2026,Check,1287,Bank,Loan interest,8000 Interest Expense,-210.00,105247.00
,02/20/2026,Payment,1279,Customer,Customer payments,1200 Accounts Receivable,31925.00,137172.00
,02/24/2026,Bill Payment,1281,Supplier,Pay vendor,2000 Accounts Payable,-9344.00,127828.00
,02/28/2026,Credit Card Payment,1285,Card,Pay card,2100 Credit Card,-2450.00,125378.00
,02/30/2026,Deposit,1286,Bank,Interest earned,7000 Interest Income,45.00,125423.00
,03/01/2026,Check,1294,Landlord,Office rent,6100 Rent Expense,-3000.00,122423.00
,03/15/2026,Check,1293,Staff,Payroll run,6000 Payroll Expense,-11000.00,111423.00
,03/18/2026,Check,1298,Bank,Loan interest,8000 Interest Expense,-210.00,111213.00
,03/20/2026,Payment,1290,Customer,Customer payments,1200 Accounts Receivable,32723.00,143936.00
,03/24/2026,Bill Payment,1292,Supplier,Pay vendor,2000 Accounts Payable,-9578.00,134358.00
,03/28/2026,Credit Card Payment,1296,Card,Pay card,2100 Credit Card,-2524.00,131834.00
,03/30/2026,Deposit,1297,Bank,Interest earned,7000 Interest Income,45.00,131879.00
,04/01/2026,Check,1305,Landlord,Office rent,6100 Rent Expense,-3000.00,128879.00
,04/15/2026,Check,1304,Staff,Payroll run,6000 Payroll Expense,-11000.00,117879.00
,04/18/2026,Check,1309,Bank,Loan interest,8000 Interest Expense,-210.00,117669.00
,04/20/2026,Payment,1301,Customer,Customer payments,1200 Accounts Receivable,33541.00,151210.00
,04/24/2026,Bill Payment,1303,Supplier,Pay vendor,2000 Accounts Payable,-9817.00,141393.00
,04/28/2026,Credit Card Payment,1307,Card,Pay card,2100 Credit Card,-2599.00,138794.00
,04/30/2026,Deposit,1308,Bank,Interest earned,7000 Interest Income,45.00,138839.00
,05/01/2026,Check,1316,Landlord,Office rent,6100 Rent Expense,-3000.00,135839.00
,05/15/2026,Check,1315,Staff,Payroll run,6000 Payroll Expense,-11000.00,124839.00
,05/18/2026,Check,1320,Bank,Loan interest,8000 Interest Expense,-210.00,124629.00
,05/20/2026,Payment,1312,Customer,Customer payments,1200 Accounts Receivable,34379.00,159008.00
,05/24/2026,Bill Payment,1314,Supplier,Pay vendor,2000 Accounts Payable,-10062.00,148946.00
,05/28/2026,Credit Card Payment,1318,Card,Pay card,2100 Credit Card,-2677.00,146269.00
,05/30/2026,Deposit,1319,Bank,Interest earned,7000 Interest Income,45.00,146314.00
,06/01/2026,Check,1327,Landlord,Office rent,6100 Rent Expense,-3000.00,143314.00
,06/15/2026,Check,1326,Staff,Payroll run,6000 Payroll Expense,-11000.00,132314.00
,06/18/2026,Check,1331,Bank,Loan interest,8000 Interest Expense,-210.00,132104.00
,06/20/2026,Payment,1323,Customer,Customer payments,1200 Accounts Receivable,35239.00,167343.00
,06/24/2026,Bill Payment,1325,Supplier,Pay vendor,2000 Accounts Payable,-10314.00,157029.00
,06/28/2026,Credit Card Payment,1329,Card,Pay card,2100 Credit Card,-2758.00,154271.00
,06/30/2026,Deposit,1330,Bank,Interest earned,7000 Interest Income,45.00,154316.00
,07/01/2026,Check,1338,Landlord,Office rent,6100 Rent Expense,-3000.00,151316.00
,07/15/2026,Check,1337,Staff,Payroll run,6000 Payroll Expense,-11000.00,140316.00
,07/18/2026,Check,1342,Bank,Loan interest,8000 Interest Expense,-210.00,140106.00
,07/20/2026,Payment,1334,Customer,Customer payments,1200 Accounts Receivable,36120.00,176226.00
,07/24/2026,Bill Payment,1336,Supplier,Pay vendor,2000 Accounts Payable,-10572.00,165654.00
,07/28/2026,Credit Card Payment,1340,Card,Pay card,2100 Credit Card,-2840.00,162814.00
,07/30/2026,Deposit,1341,Bank,Interest earned,7000 Interest Income,45.00,162859.00
,08/01/2026,Check,1349,Landlord,Office rent,6100 Rent Expense,-3000.00,159859.00
,08/15/2026,Check,1348,Staff,Payroll run,6000 Payroll Expense,-11000.00,148859.00
,08/18/2026,Check,1353,Bank,Loan interest,8000 Interest Expense,-210.00,148649.00
,08/20/2026,Payment,1345,Customer,Customer payments,1200 Accounts Receivable,37023.00,185672.00
,08/24/2026,Bill Payment,1347,Supplier,Pay vendor,2000 Accounts Payable,-10836.00,174836.00
,08/28/2026,Credit Card Payment,1351,Card,Pay card,2100 Credit Card,-2925.00,171911.00
,08/30/2026,Deposit,1352,Bank,Interest earned,7000 Interest Income,45.00,171956.00
,09/01/2026,Check,1360,Landlord,Office rent,6100 Rent Expense,-3000.00,168956.00
,09/10/2026,Check,1400,Vendor,Equipment purchase,1500 Equipment,-15000.00,153956.00
,09/15/2026,Check,1359,Staff,Payroll run,6000 Payroll Expense,-11000.00,142956.00
,09/18/2026,Check,1364,Bank,Loan interest,8000 Interest Expense,-210.00,142746.00
,09/20/2026,Payment,1356,Customer,Customer payments,1200 Accounts Receivable,37949.00,180695.00
,09/24/2026,Bill Payment,1358,Supplier,Pay vendor,2000 Accounts Payable,-11107.00,169588.00
,09/28/2026,Credit Card Payment,1362,Card,Pay card,2100 Credit Card,-3013.00,166575.00
,09/30/2026,Deposit,1363,Bank,Interest earned,7000 Interest Income,45.00,166620.00
,10/01/2026,Check,1371,Landlord,Office rent,6100 Rent Expense,-3000.00,163620.00
,10/15/2026,Check,1370,Staff,Payroll run,6000 Payroll Expense,-11000.00,152620.00
,10/18/2026,Check,1375,Bank,Loan interest,8000 Interest Expense,-210.00,152410.00
,10/20/2026,Payment,1367,Customer,Customer payments,1200 Accounts Receivable,38898.00,191308.00
,10/24/2026,Bill Payment,1369,Supplier,Pay vendor,2000 Accounts Payable,-11385.00,179923.00
,10/28/2026,Credit Card Payment,1373,Card,Pay card,2100 Credit Card,-3103.00,176820.00
,10/30/2026,Deposit,1374,Bank,Interest earned,7000 Interest Income,45.00,176865.00
,11/01/2026,Check,1382,Landlord,Office rent,6100 Rent Expense,-3000.00,173865.00
,11/15/2026,Check,1381,Staff,Payroll run,6000 Payroll Expense,-11000.00,162865.00
,11/18/2026,Check,1386,Bank,Loan interest,8000 Interest Expense,-210.00,162655.00
,11/20/2026,Payment,1378,Customer,Customer payments,1200 Accounts Receivable,39870.00,202525.00
,11/24/2026,Bill Payment,1380,Supplier,Pay vendor,2000 Accounts Payable,-11670.00,190855.00
,11/28/2026,Credit Card Payment,1384,Card,Pay card,2100 Credit Card,-3196.00,187659.00
,11/30/2026,Deposit,1385,Bank,Interest earned,7000 Interest Income,45.00,187704.00
,12/01/2026,Check,1393,Landlord,Office rent,6100 Rent Expense,-3000.00,184704.00
,12/15/2026,Check,1392,Staff,Payroll run,6000 Payroll Expense,-11000.00,173704.00
,12/18/2026,Check,1397,Bank,Loan interest,8000 Interest Expense,-210.00,173494.00
,12/20/2026,Payment,1389,Customer,Customer payments,1200 Accounts Receivable,40866.00,214360.00
,12/24/2026,Bill Payment,1391,Supplier,Pay vendor,2000 Accounts Payable,-11961.00,202399.00
,12/28/2026,Credit Card Payment,1395,Card,Pay card,2100 Credit Card,-3292.00,199107.00
,12/30/2026,Deposit,1396,Bank,Interest earned,7000 Interest Income,45.00,199152.00
Total for 1000 Checking,,,,,,,199152.00,199152.00
1200 Accounts Receivable,,,,,,,,
,01/05/2024,Invoice,1002,Customer,Monthly product sales,4000 Product Revenue,15000.00,15000.00
,01/06/2024,Invoice,1003,Client,Consulting engagement,4100 Consulting Revenue,6000.00,21000.00
,01/20/2024,Payment,1004,Customer,Customer payments,1000 Checking,-17220.00,3780.00
,02/05/2024,Invoice,1013,Customer,Monthly product sales,4000 Product Revenue,15375.00,19155.00
,02/06/2024,Invoice,1014,Client,Consulting engagement,4100 Consulting Revenue,6150.00,25305.00
,02/20/2024,Payment,1015,Customer,Customer payments,1000 Checking,-17651.00,7654.00
,03/05/2024,Invoice,1024,Customer,Monthly product sales,4000 Product Revenue,15759.00,23413.00
,03/06/2024,Invoice,1025,Client,Consulting engagement,4100 Consulting Revenue,6304.00,29717.00
,03/20/2024,Payment,1026,Customer,Customer payments,1000 Checking,-18092.00,11625.00
,04/05/2024,Invoice,1035,Customer,Monthly product sales,4000 Product Revenue,16153.00,27778.00
,04/06/2024,Invoice,1036,Client,Consulting engagement,4100 Consulting Revenue,6461.00,34239.00
,04/20/2024,Payment,1037,Customer,Customer payments,1000 Checking,-18543.00,15696.00
,05/05/2024,Invoice,1046,Customer,Monthly product sales,4000 Product Revenue,16557.00,32253.00
,05/06/2024,Invoice,1047,Client,Consulting engagement,4100 Consulting Revenue,6623.00,38876.00
,05/20/2024,Payment,1048,Customer,Customer payments,1000 Checking,-19008.00,19868.00
,06/05/2024,Invoice,1057,Customer,Monthly product sales,4000 Product Revenue,16971.00,36839.00
,06/06/2024,Invoice,1058,Client,Consulting engagement,4100 Consulting Revenue,6788.00,43627.00
,06/20/2024,Payment,1059,Customer,Customer payments,1000 Checking,-19482.00,24145.00
,07/05/2024,Invoice,1068,Customer,Monthly product sales,4000 Product Revenue,17395.00,41540.00
,07/06/2024,Invoice,1069,Client,Consulting engagement,4100 Consulting Revenue,6958.00,48498.00
,07/20/2024,Payment,1070,Customer,Customer payments,1000 Checking,-19969.00,28529.00
,08/05/2024,Invoice,1079,Customer,Monthly product sales,4000 Product Revenue,17830.00,46359.00
,08/06/2024,Invoice,1080,Client,Consulting engagement,4100 Consulting Revenue,7132.00,53491.00
,08/20/2024,Payment,1081,Customer,Customer payments,1000 Checking,-20469.00,33022.00
,09/05/2024,Invoice,1090,Customer,Monthly product sales,4000 Product Revenue,18276.00,51298.00
,09/06/2024,Invoice,1091,Client,Consulting engagement,4100 Consulting Revenue,7310.00,58608.00
,09/20/2024,Payment,1092,Customer,Customer payments,1000 Checking,-20981.00,37627.00
,10/05/2024,Invoice,1101,Customer,Monthly product sales,4000 Product Revenue,18733.00,56360.00
,10/06/2024,Invoice,1102,Client,Consulting engagement,4100 Consulting Revenue,7493.00,63853.00
,10/20/2024,Payment,1103,Customer,Customer payments,1000 Checking,-21505.00,42348.00
,11/05/2024,Invoice,1112,Customer,Monthly product sales,4000 Product Revenue,19201.00,61549.00
,11/06/2024,Invoice,1113,Client,Consulting engagement,4100 Consulting Revenue,7681.00,69230.00
,11/20/2024,Payment,1114,Customer,Customer payments,1000 Checking,-22043.00,47187.00
,12/05/2024,Invoice,1123,Customer,Monthly product sales,4000 Product Revenue,19681.00,66868.00
,12/06/2024,Invoice,1124,Client,Consulting engagement,4100 Consulting Revenue,7873.00,74741.00
,12/20/2024,Payment,1125,Customer,Customer payments,1000 Checking,-22594.00,52147.00
,01/05/2025,Invoice,1134,Customer,Monthly product sales,4000 Product Revenue,20173.00,72320.00
,01/06/2025,Invoice,1135,Client,Consulting engagement,4100 Consulting Revenue,8069.00,80389.00
,01/20/2025,Payment,1136,Customer,Customer payments,1000 Checking,-23158.00,57231.00
